City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,puerto quijarro,-17.7833,-57.7667,78.1,42,91,0.74,BO,1692675820
322,kumbo,6.2,10.6667,59.11,92,87,2.3,CM,1692675820
323,quellon,-43.1167,-73.6167,43.63,87,92,9.4,CL,1692675820
324,mabaruma,8.2,-59.7833,74.55,93,82,3.0,GY,1692675820
325,santa ana,33.7456,-117.8678,75.07,79,75,5.75,US,1692675820
326,utrik,11.2278,169.8474,83.55,76,87,13.67,MH,1692675821
327,vangaindrano,-23.35,47.6,67.69,92,22,1.57,MG,1692675821
328,sandnessjoen,66.0217,12.6316,53.71,100,75,4.61,NO,1692675821
329,hadibu,12.65,54.0333,80.28,82,56,17.38,YE,1692675821
330,castillos,-34.1667,-53.8333,55.63,91,99,11.32,UY,1692675821
331,anar darah,32.7587,61.654,88.83,17,0,18.37,AF,1692675821
332,linping,30.4225,120.2972,91.35,88,94,6.87,CN,1692675821
333,happy valley-goose bay,53.3168,-60.3315,57.51,67,75,11.5,CA,1692675821
334,sumbawanga,-7.9667,31.6167,57.58,47,3,2.59,TZ,1692675822
335,kununurra,-15.7667,128.7333,91.38,17,4,11.5,AU,1692675822
336,tindouf,27.6711,-8.1474,90.05,22,20,11.5,DZ,1692675822
337,verkhnevilyuysk,63.4453,120.3167,57.38,42,3,8.68,RU,1692675822
338,jesenik,50.2294,17.2046,72.99,52,77,5.01,CZ,1692675822
339,santa maria da vitoria,-13.3947,-44.1886,76.8,44,0,3.76,BR,1692675822
340,coahuayana de hidalgo,18.7,-103.6583,80.31,91,100,1.01,MX,1692675822
341,champerico,14.3,-91.9167,79.12,91,98,6.67,GT,1692675824
342,port macquarie,-31.4333,152.9167,75.88,53,43,13.13,AU,1692675666
343,north bondi,-33.8824,151.2769,79.34,39,0,14.97,AU,1692675824
344,beni saf,35.301,-1.3823,73.69,92,3,0.94,DZ,1692675824
345,port mathurin,-19.6833,63.4167,73.76,80,1,16.6,MU,1692675824
346,fort st. john,56.2499,-120.8529,64.29,42,20,8.05,CA,1692675588
347,mwene-ditu,-7.0,23.45,71.06,31,14,3.31,CD,1692675825
348,kodinsk,58.6881,99.1844,69.67,53,18,4.14,RU,1692675825
349,raduzhny,62.0961,77.475,56.73,57,100,10.13,RU,1692675825
350,labrador city,52.9463,-66.9114,48.11,87,100,8.05,CA,1692675825
351,baruun-urt,46.6806,113.2792,63.1,39,80,9.35,MN,1692675825
352,calp,38.6447,0.0445,80.08,79,0,4.83,ES,1692675825
353,ciudad lazaro cardenas,17.9583,-102.2,79.7,87,90,3.67,MX,1692675825
354,vorgashor,67.5833,63.95,55.89,59,97,10.67,RU,1692675825
355,crane,31.3974,-102.3501,86.86,30,49,7.16,US,1692675826
356,wainwright,52.839,-110.8572,60.44,75,100,10.0,CA,1692675826
357,sinabang,2.4803,96.3801,82.06,79,90,6.35,ID,1692675826
358,anton,8.4,-80.2667,81.86,92,100,5.82,PA,1692675826
359,northam,51.0333,-4.2167,61.61,97,98,12.21,GB,1692675826
360,la mojonera,37.2923,-2.4373,71.85,47,0,2.62,ES,1692675826
